id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,tax,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
66622,common,642,volleyball,volleyball,,2023-03-15T12:31:32.646Z,32.10,2000,2000,1536,0,0,0,0
11631,common,1500,beachball,beachball,,2023-03-15T18:05:37.238Z,75.00,3500,3500,1552,400,171,1.93,0
70158,rare,3300,floater,floater,,2023-02-24T16:47:07.977Z,165.00,150,150,151,0,0,0,0
45933,rare,3500,peach,peach,,2023-03-13T20:42:05.083Z,175.00,100,100,52,6276,1673,21.29,0
50197,uncommon,600,opencan,opencan,,2023-03-14T12:07:23.193Z,30.00,600,600,191,103,50,4.99,0
46399,common,200,alien,alien,,2023-03-15T13:53:35.787Z,10.00,2000,2000,1617,31,10,0,0
48737,rare,5000,floater,floater,,2023-02-26T06:47:32.367Z,250.00,150,150,34,875,405,27.19,0
59250,rare,5000,cougar,cougar,,2023-03-10T11:04:06.164Z,250.00,150,150,94,1311,695,0,5550
64761,common,1230,football,football,,2023-03-15T08:36:46.651Z,61.50,2000,2000,1635,0,0,0,0
65677,common,250,saturn,saturn,,2023-03-15T16:40:23.828Z,12.50,2000,2000,1652,52,20,0,250
47491,rare,22000,egg,egg,,2022-12-16T19:52:17.716Z,1100.00,100,100,100,37534,17870,5164.81,1300
56417,rare,19000,ladybug,ladybug,,2023-03-05T10:59:48.437Z,950.00,150,150,57,971,354,15.84,2870
50957,epic,35000,owl,owl,,2023-03-05T10:54:33.296Z,1750.00,50,50,9,1901,999,72.09,0
57404,epic,15000,dragon,dragon,,2023-03-11T20:09:54.781Z,750.00,50,50,40,100,55,0.66,50
65031,rare,10000,frankie,frankie,,2023-03-13T11:15:09.005Z,500.00,150,150,27,3834,1548,28.72,15050
47,rare,10000,cherry,cherry,,2022-10-30T04:55:09.073Z,500.00,100,100,3,4074,1592,41.41,0
57383,epic,30000,dragon,dragon,,2022-12-05T00:55:25.492Z,1500.00,50,50,20,902,415,38.63,150
53442,rare,8000,diver,diver,,2023-01-27T16:46:12.024Z,400.00,150,150,67,322,149,9.05,0
53983,common,1000,crosshair,crosshair,,2023-03-15T19:19:20.481Z,50.00,2000,2000,1300,19,10,0.4,0
63179,common,215,clock,clock,,2023-03-15T17:54:05.553Z,10.75,2000,2000,1386,0,0,0,0
66558,common,220,saturn,saturn,,2023-03-15T10:09:46.190Z,11.00,2000,2000,1763,0,0,0,0
56449,rare,5800,ladybug,ladybug,,2023-03-01T17:15:47.507Z,290.00,150,150,87,169,86,0.99,0
53406,rare,6500,diver,diver,,2023-03-15T11:36:00.724Z,325.00,150,150,31,207,99,2.64,0
64987,epic,14999,mummy,mummy,,2023-03-05T22:34:54.413Z,749.95,50,50,33,0,0,0,0
